Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_ADH1HDV0, Area: 3.920000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_ADH1HDV1, Area: 3.920000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_ADH1HDV2, Area: 4.760000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_ADH1HDV4, Area: 5.880000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND2HDV0, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND2HDV1, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND2HDV12, Area: 4.760000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND2HDV16, Area: 6.160000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND2HDV2, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND2HDV20, Area: 7.560000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND2HDV24, Area: 8.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND2HDV4, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND2HDV8, Area: 3.360000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND3HDV0, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND3HDV1, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND3HDV2, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND3HDV4, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND4HDV0, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND4HDV1, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND4HDV2, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AND4HDV4, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO211HDV0, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO211HDV1, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO211HDV2, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO211HDV4, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO21HDV0, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO21HDV1, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO21HDV2, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO21HDV4, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO221HDV0, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO221HDV1, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO221HDV2, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO221HDV4, Area: 3.080000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO222HDV0, Area: 3.080000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO222HDV1, Area: 3.080000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO222HDV2, Area: 3.080000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO222HDV4, Area: 3.080000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO22HDV0, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO22HDV1, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO22HDV2, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO22HDV4, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO31HDV0, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO31HDV1, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO31HDV2, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO31HDV4, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO32HDV0, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO32HDV1, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO32HDV2, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AO32HDV4, Area: 2.800000
